lr,la,rho*,T*,B*,dB*_dT*
22,6,0,3.0883438917532513,0.4965412401681474,0.4420289641160119
22,6,0,3.1586882147978934,0.5268464264797251,0.4198681819238447
22,6,0,3.229032537842535,0.5556485190984346,0.3992681301907154
22,6,0,3.299376860887177,0.5830521728381076,0.3800868312168874
22,6,0,3.3697211839318193,0.6091527044971321,0.36219804702094
22,6,0,3.4400655069764614,0.6340369775281153,0.3454892334861193
22,6,0,3.5104098300211035,0.6577844058926249,0.3298597979589523
22,6,0,3.5807541530657456,0.680467709368783,0.3152196099502916
22,6,0,3.651098476110388,0.7021535440709465,0.3014877237933859
22,6,0,3.7214427991550294,0.7229031973411995,0.2885912794863419
22,6,0,3.791787122199671,0.7427731007229526,0.276464553879341
22,6,0,3.8621314452443136,0.7618152703410856,0.2650481391664346
22,6,0,3.9324757682889553,0.780077747453563,0.2542882295363852
22,6,0,4.002820091333597,0.7976049727732877,0.2441360000167193
22,6,0,4.0731644143782395,0.8144381111059205,0.2345470641470379
22,6,0,4.143508737422882,0.8306153459961103,0.2254809992576312
22,6,0,4.213853060467524,0.8461721265064863,0.2169009298952585
22,6,0,4.284197383512166,0.8611414403020448,0.2087731614004914
22,6,0,4.354541706556808,0.8755540139881933,0.2010668568565765
22,6,0,4.398087123622376,0.8842094817327372,0.196495142542072
22,6,0,4.912155557920031,0.9731040506924432,0.152003452694573
22,6,0,5.426223992217688,1.0426714654104483,0.1203485702993586
22,6,0,5.940292426515343,1.0982665337233624,0.0970813116941058
22,6,0,6.454360860812999,1.1434563638726658,0.0795181495582833
22,6,0,6.9684292951106555,1.1807058273719202,0.0659639628929672
22,6,0,7.482497729408311,1.211770672390392,0.0553061903742437
22,6,0,7.996566163705968,1.2379339747206195,0.0467906840588313
22,6,0,8.510634598003623,1.2601541149619977,0.0398919633991362
22,6,0,9.02470303230128,1.2791605891902864,0.0342350547798435
22,6,0,9.538771466598934,1.2955180038424428,0.0295467611711529
22,6,0,10.05283990089659,1.3096696638565042,0.0256243584255043
22,6,0,10.566908335194244,1.3219681888856831,0.022314951087822
22,6,0,11.080976769491905,1.3326973279778342,0.0195015375658542
22,6,0,11.595045203789558,1.3420877766482215,0.0170934069221591
22,6,0,12.109113638087216,1.3503288643956122,0.0150193963905628
22,6,0,12.623182072384871,1.357577292829389,0.013223077156803
22,6,0,13.137250506682529,1.3639637861595215,0.0116592640981309
22,6,0,13.651318940980184,1.369598158256423,0.0102914499430919
22,6,0,14.165387375277838,1.374573265412301,0.0090898948470075
22,6,0,14.679455809575494,1.3789680992193762,0.0080301872293561
22,6,0,15.19352424387315,1.3828502240096452,0.0070921478673278
22,6,0,15.707592678170805,1.3862777532452388,0.0062589870088345
22,6,0,16.22166111246846,1.389300870406201,0.0055166500613701
22,6,0,16.735729546766116,1.3919631516366324,0.0048533052758539
22,6,0,17.249797981063775,1.3943025467546026,0.0042589393769152
22,6,0,17.76386641536143,1.396352274986107,0.003725035990501
22,6,0,18.277934849659086,1.398141499546209,0.0032443181109801
22,6,0,18.792003283956745,1.3996959156052875,0.0028105404885716
22,6,0,19.306071718254397,1.4010382367659957,0.0024183212179988
22,6,0,19.820140152552053,1.4021886012006746,0.0020630043246967
22,6,0,20.33420858684971,1.4031649163173747,0.0017405470221864
22,6,0,20.848277021147364,1.4039831481567202,0.0014474267268383
22,6,0,21.36234545544502,1.4046575686200125,0.0011805639874913
22,6,0,21.876413889742675,1.40520096029956,0.0009372583057712
22,6,0,22.39048232404033,1.4056248232044857,0.0007151344525108
22,6,0,22.904550758337987,1.4059394895545785,0.0005120973731959
22,6,0,23.41861919263564,1.4061542787233017,0.0003262941552708
22,6,0,23.9326876269333,1.4062776329616562,0.0001560818279844
22,6,0,24.446756061230957,1.4063171776077914,4.7704895589362195e-18
22,6,0,24.691223621843267,1.4063086043987516,-6.964988817041544e-05
22,6,0,24.935691182455574,1.4062833453593342,-0.0001365289259274
22,6,0,25.18015874306789,1.4062420628073578,-0.0002007589489134
22,6,0,25.424626303680196,1.4061853967325904,-0.0002624555214416
22,6,0,25.669093864292503,1.4061139396563225,-0.0003217283107833
22,6,0,25.913561424904817,1.4060282781236506,-0.0003786814359766
22,6,0,26.158028985517127,1.4059289666026251,-0.0004334137931039
22,6,0,26.40249654612943,1.4058165434357268,-0.0004860193588208
22,6,0,26.646964106741745,1.405691504075894,-0.0005365874737725
22,6,0,26.891431667354055,1.405554342951007,-0.0005852031073927
23,6,0,1.0,-2.9892671661740136,6.325045022282177
23,6,0,1.0428164973273062,-2.7326817784042636,5.677581569455166
23,6,0,1.0856329946546122,-2.5017451115129,5.12373577984118
23,6,0,1.1284494919819184,-2.2928312253135985,4.646364677750105
23,6,0,1.1712659893092243,-2.10296414634157,4.2320639879179005
23,6,0,1.2140824866365303,-1.9296790309042189,3.8702336766823366
23,6,0,1.2568989839638367,-1.7709172392381003,3.5524042820583652
23,6,0,1.299715481291143,-1.6249461570968662,3.2717442703813604
23,6,0,1.3425319786184489,-1.4902972896711144,3.0226950221893416
23,6,0,1.3853484759457548,-1.3657180009004224,2.8006970973838885
23,6,0,1.428164973273061,-1.250133204676778,2.6019826503136185
23,6,0,1.4709814706003672,-1.1426151364102903,2.4234163731623672
