lr,la,T*,P*,rhov*,rhol*,dHvap*,dUvap*
8.0,6.0,1.470211848275862,0.0671773677931034,0.061455,0.616165,5.632954555172414,4.648864757016009
8.0,6.0,1.568902948275862,0.0968607603448275,0.093311,0.560848,4.723863110344827,3.858524980917309
8.0,6.0,1.590379617241379,0.1053931462068965,0.104663,0.547441,4.457542703448276,3.643086183476837
9.0,6.0,0.7000612262068966,0.0003588678537931,0.000516,0.870205,7.912768072413792,7.217700130217985
9.0,6.0,0.7201969351724137,0.0004324530217241,0.000605,0.863255,7.866529213793102,7.152231787067597
9.0,6.0,0.8101928327586208,0.0014873373655172,0.001871,0.832568,7.623964137931035,6.830808111224643
9.0,6.0,0.8196933751724138,0.0017446663206896,0.002175,0.829221,7.58750245862069,6.7874610061376375
9.0,6.0,0.9096107796551725,0.0043998255827586,0.005047,0.797196,7.3180665517241374,6.451815204145802
9.0,6.0,0.9301285344827588,0.0053142730448275,0.006,0.789819,7.256269886206897,6.377286181559873
9.0,6.0,1.0102770586206895,0.0100060231689655,0.010694,0.75987,6.972551548275861,6.050052595330375
9.0,6.0,1.0301850896551723,0.0115467714137931,0.012207,0.751825,6.8933813586206885,5.962825746161447
9.0,6.0,1.1101318,0.0197136103448275,0.020149,0.720533,6.539249948275862,5.588218208258755
9.0,6.0,1.1301592827586209,0.0220021384137931,0.022316,0.711767,6.451929779310345,5.496906194497644
9.0,6.0,1.2199242896551723,0.036255503137931,0.036284,0.671872,5.953951931034483,5.008699234766938
9.0,6.0,1.2296772931034483,0.0383363283448275,0.038429,0.666716,5.885658527586207,4.945570268252037
9.0,6.0,1.3201427137931034,0.0581269306206896,0.058824,0.621558,5.266256006896552,4.371624203483327
9.0,6.0,1.3403976517241378,0.0636520223448275,0.064996,0.610555,5.097845055172414,4.222775631691529
9.0,6.0,1.4200810482758623,0.0879120460689655,0.094333,0.560932,4.322344696551724,3.5471365479536976
9.0,6.0,1.4405648482758622,0.094911639,0.103751,0.545518,4.084260755172414,3.3434430255405445
10.0,6.0,0.6905698034482759,0.0005769190896551,0.000844,0.858782,7.40707318275862,6.724191546586118
10.0,6.0,0.7097240531034483,0.0008285798393103,0.001183,0.851562,7.348573831034482,6.649141230527558
10.0,6.0,0.7795254820689657,0.0019076697448275,0.002507,0.825144,7.144215424137931,6.385590074000615
10.0,6.0,0.8003008889655172,0.0023949239620689,0.00308,0.817772,7.080083865517241,6.305439746748069
10.0,6.0,0.8700500010344828,0.0051406131793103,0.006215,0.790301,6.846808603448276,6.026183193497071
10.0,6.0,0.8902172837931034,0.0060164272275862,0.007149,0.781988,6.778500517241379,5.944618219806651
10.0,6.0,0.9602149068965518,0.0107881414482758,0.012238,0.752917,6.502175886206896,5.634976200847807
10.0,6.0,0.9798150789655172,0.0126901749310344,0.014269,0.74457,6.411189703448276,5.538880544630165
10.0,6.0,1.0498672413793102,0.0207175337586206,0.02268,0.71341,6.072732751724137,5.188301396098684
10.0,6.0,1.069684475862069,0.0231907239655172,0.02521,0.704002,5.968934072413793,5.081973564461697
10.0,6.0,1.139620024137931,0.0350405877931034,0.03779,0.669678,5.553430631034482,4.678510182843107
10.0,6.0,1.149964179310345,0.0373658064827586,0.040414,0.664636,5.482209524137931,4.613853677334204
10.0,6.0,1.229817572413793,0.0563772811034482,0.062273,0.617753,4.864038131034484,4.049975343457572
